learning_rate,regularization_lambda,batch_size,num_epochs,train_auc,val_auc
0.0002,0.01,64,150,0.8035513934562628,0.8213431713074606
5e-05,0,128,150,0.756118468743314,0.7721934220028736
0.0002,0.001,64,200,0.8085275117475059,0.8263962223320084
0.0005,0.05,128,250,0.8084836522791085,0.826054282344014
0.0002,0,32,250,0.8198142333019008,0.8379596932996818
0.0002,0.0001,64,250,0.8114379073987494,0.829458025119029
0.0001,0.0001,64,250,0.8027326523874049,0.8203823562880471
0.0005,0.001,128,150,0.8076760092025432,0.8255871554143807
0.0002,0,64,150,0.8051260658599915,0.8230633559159112
5e-05,0.05,128,150,0.7561537448064005,0.7714673936595995
0.0002,0.0001,128,250,0.8030370949124517,0.8207781874720235
0.0001,0.0001,32,200,0.8090627975836722,0.8270466212666542
0.0005,0.001,64,200,0.8194163791532287,0.8375696636322638
0.001,0.001,128,250,0.8216633844967259,0.8396612151982399
0.001,0.0001,64,150,0.824063885301024,0.8414983388091262
5e-05,0.05,32,200,0.7945562551671856,0.8114413804981252
0.001,0,128,150,0.8163883135098299,0.8345716775273853
5e-05,0,128,250,0.7779672797293122,0.793497359680886
0.001,0.0001,64,200,0.8264211225306465,0.8436980921538053
0.0002,0.0001,32,150,0.8136950048997467,0.8317424945850181
0.0005,0.0001,64,200,0.8197567147660669,0.8378959465153295
0.0001,0,64,200,0.7999428132205997,0.8176116777957927
0.001,0,64,200,0.8265525149831877,0.8438333443771842
0.001,0.0001,128,150,0.8163940780420031,0.8345896412593793
0.0002,0.05,32,150,0.807738941496232,0.8253053974234557
0.0001,0.05,64,200,0.794344429740802,0.8112864170980059
0.0002,0.0001,32,200,0.817157553137819,0.8353455858567134
0.0001,0.0001,128,250,0.7935500569215856,0.8102996001007645
0.0001,0.0001,32,250,0.8113972640659708,0.8293837237684079
0.001,0.01,128,250,0.8186012472562738,0.8370002063382758
0.0002,0.05,128,200,0.7945250742886122,0.8114382350975815
0.0001,0.001,32,200,0.8084072468706335,0.826351977031027
0.0005,0.001,64,250,0.8217011835991875,0.8397019656097281
0.0005,0.01,128,150,0.8060071137454403,0.8238881498362574
0.0002,0.01,64,200,0.8067392051052455,0.8245811165249278
5e-05,0,64,250,0.7930242800277872,0.8097733396409099
0.0001,0.01,32,250,0.8090785739756096,0.8270074785043325
0.0005,0,64,200,0.8196774482224881,0.8378110207006498
0.001,0.01,32,200,0.8270366300308248,0.8457120571730369
0.0001,0,64,250,0.8028042103483706,0.8205552135223706
0.0002,0.05,32,200,0.8130160326051068,0.8311378787027306
0.0001,0,128,200,0.7875313993201106,0.8036440024481003
5e-05,0,64,200,0.7898392534423692,0.8060263288198931
0.0002,0.05,128,150,0.7910112073451296,0.8075312981333655
0.0005,0.01,32,150,0.820481638496425,0.8389553873162352
5e-05,0.001,32,250,0.8025369541272772,0.8203647420450024
0.0005,0.01,32,200,0.8233196140425947,0.8414775791655379
0.0005,0,32,200,0.8264256910491796,0.8436978824604358
0.0005,0.01,64,200,0.8163542292341868,0.8344763369420164
0.0002,0.01,64,250,0.8090368783198755,0.826991891297194
0.0001,0.05,32,250,0.8049385157069238,0.8227994917591903
0.0002,0,64,200,0.8084559368817537,0.8266270248341256
0.0001,0.0001,128,150,0.7823474493582785,0.7982354512643252
0.001,0.01,64,150,0.82051198258807,0.8389818086808023
0.001,0.01,128,150,0.8133527928556147,0.8312687972631381
0.0002,0,32,200,0.8172730001505581,0.8354152040554138
0.001,0.05,128,200,0.8175572034200496,0.8358948426894321
0.0001,0.001,128,200,0.7892226133215,0.80577854115484
0.0005,0.01,128,250,0.811415212722965,0.8293946977214159
0.0005,0.0001,64,150,0.8163559577485995,0.8344857731436475
5e-05,0.0001,64,200,0.7894227533142626,0.8057582707957808
0.001,0.001,32,200,0.8288999136271069,0.8465467066817534
0.001,0.001,64,250,0.8270847664101894,0.8444405464776966
0.001,0.01,64,200,0.8233671122662716,0.8415278356764471
0.0002,0,128,200,0.8002947962312891,0.817820532391894
0.0005,0.01,128,200,0.8090321238486916,0.8270219473468335
0.0001,0,128,250,0.7929715539989065,0.8098321236821822
0.001,0.05,32,200,0.8187039100242742,0.8371279096003496
0.001,0.01,64,250,0.8251445660356427,0.8433608353177315
0.0005,0.0001,32,150,0.8239444022705241,0.8414719174445592
0.0001,0.001,128,250,0.7925224994783289,0.8093681421530923
0.0002,0.01,32,250,0.8163155088208648,0.834411192201867
5e-05,0.05,128,200,0.7685534648208754,0.7844490208857392
5e-05,0.05,64,200,0.7849946881991385,0.8011474630876761
5e-05,0.0001,32,150,0.7953211883008312,0.8124667111775793
0.0002,0.0001,32,250,0.81971234392788,0.8378398185900722
0.0005,0.05,64,200,0.8175114125798024,0.8358743626370031
5e-05,0.0001,128,200,0.7706081275043517,0.7856100231753114
0.0005,0,128,200,0.8114685135145844,0.8294717949836312
5e-05,0.001,64,150,0.7834657770522808,0.7992333820101541
0.001,0,64,150,0.8240240026836348,0.8415190285549247
0.0001,0.01,32,200,0.8066717550073826,0.8244866147130374
0.0001,0.0001,128,200,0.7886398968808027,0.8046407449315015
0.0005,0,32,250,0.8278321143397492,0.8451607733044125
5e-05,0.001,128,250,0.7761781574311063,0.7918668539368252
0.001,0.0001,128,250,0.8222483746311984,0.8400919253793562
5e-05,0.01,64,150,0.7805359873848031,0.79623826171466
0.0002,0,128,250,0.8028576759616578,0.8206915142125973
5e-05,0.0001,128,250,0.77942539785679,0.7947938238872061
0.0001,0.0001,64,150,0.7959850772997774,0.81290021727029
0.001,0.001,32,250,0.8293994416137731,0.8471485266524468
0.0005,0.001,64,150,0.8161838881537068,0.8343516392849065
5e-05,0,32,150,0.7952724771587281,0.8124320418738087
0.001,0.0001,128,200,0.8198908162106336,0.8380121865398665
0.001,0.0001,64,250,0.8278070698986505,0.8451797156054645
0.0002,0.0001,128,200,0.7997710183284864,0.817310348423707
0.0002,0.001,128,150,0.7958901484715697,0.8130122634274354
0.0002,0.0001,64,200,0.8085464789178824,0.8263985988568636
5e-05,0.0001,64,250,0.792611731393509,0.8092227547501838
0.0005,0.05,32,150,0.8214053582890244,0.8396446494220431
0.0002,0.05,32,250,0.8175083950754244,0.8358696095872926
0.0005,0,64,150,0.8164416143014492,0.8346298324885486
0.0001,0.01,128,250,0.7923306005689517,0.8088260847927293
0.001,0,64,250,0.8278960820516071,0.8452894551355443
0.0001,0.01,64,150,0.7945866034850274,0.8117835301794891
0.001,0.05,64,150,0.8214067825172813,0.8396487034938549
0.001,0.001,64,150,0.8234219049052935,0.8411282999096082
0.0002,0,32,150,0.8136716551634878,0.831697690101718
0.0002,0.001,32,200,0.8168912647157487,0.8351293919926768
5e-05,0.0001,32,200,0.7994562892408957,0.8169469498142257
